epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.56373,2.17723,3.26751,1.75141,0.03148,0.28428,0.00899,0.00268,1.61446,3.1247,1.45572,0,0,0
2,4.86371,2.11768,3.32223,1.70899,0.03148,0.28428,0.00899,0.00268,1.61446,3.1247,1.45572,0.000660067,0.000660067,0.000660067
3,7.29731,2.1976,3.38127,1.81361,0.03148,0.28428,0.00899,0.00268,1.61446,3.1247,1.45572,0.00130693,0.00130693,0.00130693
4,9.63386,2.14056,3.44114,1.68587,0.10593,0.95652,0.18496,0.10634,1.21586,2.99171,1.09267,0.0019406,0.0019406,0.0019406
5,11.8721,1.34724,2.51177,1.22886,0.10593,0.95652,0.18496,0.10634,1.21586,2.99171,1.09267,0.0019208,0.0019208,0.0019208
6,14.1349,1.42781,2.56544,1.25609,0.10593,0.95652,0.18496,0.10634,1.21586,2.99171,1.09267,0.001901,0.001901,0.001901
7,16.4303,1.58646,2.6537,1.29001,0.09222,0.83278,0.28127,0.09351,1.5333,2.90569,1.41065,0.0018812,0.0018812,0.0018812
8,18.6893,1.90688,1.99849,1.40483,0.09222,0.83278,0.28127,0.09351,1.5333,2.90569,1.41065,0.0018614,0.0018614,0.0018614
9,20.9732,1.92735,1.81603,1.43573,0.09222,0.83278,0.28127,0.09351,1.5333,2.90569,1.41065,0.0018416,0.0018416,0.0018416
10,23.2076,1.76613,1.74459,1.41084,0.0837,0.75585,0.12119,0.05218,1.59704,2.86524,1.54326,0.0018218,0.0018218,0.0018218
11,25.3648,1.59114,1.41024,1.31266,0.0837,0.75585,0.12119,0.05218,1.59704,2.86524,1.54326,0.001802,0.001802,0.001802
12,27.6154,1.50982,1.52955,1.24287,0.0837,0.75585,0.12119,0.05218,1.59704,2.86524,1.54326,0.0017822,0.0017822,0.0017822
13,30.0472,1.4561,1.28371,1.26335,0.09704,0.87625,0.44125,0.27563,1.42299,2.63375,1.4607,0.0017624,0.0017624,0.0017624
14,32.6408,1.23486,1.2113,1.08329,0.09704,0.87625,0.44125,0.27563,1.42299,2.63375,1.4607,0.0017426,0.0017426,0.0017426
15,35.0145,1.13945,1.11759,1.06173,0.09704,0.87625,0.44125,0.27563,1.42299,2.63375,1.4607,0.0017228,0.0017228,0.0017228
16,37.3242,1.06748,1.23635,1.09419,0.89288,0.40468,0.5961,0.36955,1.53558,2.46315,1.53408,0.001703,0.001703,0.001703
17,39.7167,1.08938,0.97922,1.05325,0.89288,0.40468,0.5961,0.36955,1.53558,2.46315,1.53408,0.0016832,0.0016832,0.0016832
18,42.0314,1.01148,0.99059,1.06699,0.89288,0.40468,0.5961,0.36955,1.53558,2.46315,1.53408,0.0016634,0.0016634,0.0016634
19,44.686,1.19627,1.06818,1.04563,0.7886,0.58637,0.6469,0.40548,1.41172,2.11444,1.40969,0.0016436,0.0016436,0.0016436
20,47.304,1.05227,0.85135,1.0296,0.7886,0.58637,0.6469,0.40548,1.41172,2.11444,1.40969,0.0016238,0.0016238,0.0016238
21,49.7544,0.99404,0.93646,1.04753,0.7886,0.58637,0.6469,0.40548,1.41172,2.11444,1.40969,0.001604,0.001604,0.001604
22,52.3161,1.02008,0.88833,1.02235,0.86594,0.70903,0.78551,0.53021,1.21855,1.59411,1.25134,0.0015842,0.0015842,0.0015842
23,54.6391,1.0003,0.83578,1.02998,0.86594,0.70903,0.78551,0.53021,1.21855,1.59411,1.25134,0.0015644,0.0015644,0.0015644
24,57.0477,0.9711,0.86864,1.0027,0.86594,0.70903,0.78551,0.53021,1.21855,1.59411,1.25134,0.0015446,0.0015446,0.0015446
25,59.3897,0.94931,0.93551,1.0391,0.86045,0.7424,0.83119,0.56014,1.15516,1.47213,1.18451,0.0015248,0.0015248,0.0015248
26,61.6291,0.95495,0.80719,1.01668,0.86045,0.7424,0.83119,0.56014,1.15516,1.47213,1.18451,0.001505,0.001505,0.001505
27,64.0302,0.89484,0.80998,1.03666,0.86045,0.7424,0.83119,0.56014,1.15516,1.47213,1.18451,0.0014852,0.0014852,0.0014852
28,66.4414,0.9411,0.85741,1.03138,0.91141,0.79136,0.85792,0.60828,1.04941,1.41758,1.07629,0.0014654,0.0014654,0.0014654
29,69.1262,0.87896,0.7524,1.04023,0.91141,0.79136,0.85792,0.60828,1.04941,1.41758,1.07629,0.0014456,0.0014456,0.0014456
30,71.6618,0.89564,0.76114,1.03138,0.91141,0.79136,0.85792,0.60828,1.04941,1.41758,1.07629,0.0014258,0.0014258,0.0014258
31,73.9447,0.92185,0.77888,0.98785,0.93633,0.78699,0.85504,0.60806,1.06418,1.5767,1.05941,0.001406,0.001406,0.001406
32,76.2709,0.87725,0.67798,0.95034,0.93633,0.78699,0.85504,0.60806,1.06418,1.5767,1.05941,0.0013862,0.0013862,0.0013862
33,78.5393,0.87059,0.679,1.00183,0.93633,0.78699,0.85504,0.60806,1.06418,1.5767,1.05941,0.0013664,0.0013664,0.0013664
34,80.8804,0.89538,0.76988,0.98977,0.91716,0.69565,0.8194,0.57296,1.06199,1.71233,1.05487,0.0013466,0.0013466,0.0013466
35,83.0106,0.9743,0.85403,1.0897,0.91716,0.69565,0.8194,0.57296,1.06199,1.71233,1.05487,0.0013268,0.0013268,0.0013268
36,85.1202,0.92563,0.93431,1.06025,0.91716,0.69565,0.8194,0.57296,1.06199,1.71233,1.05487,0.001307,0.001307,0.001307
37,87.4394,0.90066,0.76766,1.04985,0.93771,0.75525,0.84905,0.61761,0.98231,1.60455,1.00418,0.0012872,0.0012872,0.0012872
38,89.6503,0.92925,0.76438,1.03542,0.93771,0.75525,0.84905,0.61761,0.98231,1.60455,1.00418,0.0012674,0.0012674,0.0012674
39,91.9194,0.96836,1.001,0.99069,0.93771,0.75525,0.84905,0.61761,0.98231,1.60455,1.00418,0.0012476,0.0012476,0.0012476
40,94.2522,0.88293,0.7113,1.00657,0.98636,0.79933,0.87518,0.66386,0.90354,1.44298,0.96069,0.0012278,0.0012278,0.0012278
41,96.482,0.89088,0.70745,0.99748,0.98636,0.79933,0.87518,0.66386,0.90354,1.44298,0.96069,0.001208,0.001208,0.001208
42,98.8452,0.91456,0.69542,1.02123,0.98636,0.79933,0.87518,0.66386,0.90354,1.44298,0.96069,0.0011882,0.0011882,0.0011882
43,101.239,0.84026,0.64683,0.98772,0.99193,0.82226,0.90068,0.68043,0.90294,1.295,0.95096,0.0011684,0.0011684,0.0011684
44,103.548,0.85427,0.66725,0.9735,0.99193,0.82226,0.90068,0.68043,0.90294,1.295,0.95096,0.0011486,0.0011486,0.0011486
45,105.922,0.86683,0.64607,0.99045,0.99193,0.82226,0.90068,0.68043,0.90294,1.295,0.95096,0.0011288,0.0011288,0.0011288
46,108.231,0.82441,0.63865,0.98772,0.99214,0.84396,0.94162,0.71068,0.87032,1.18572,0.93469,0.001109,0.001109,0.001109
47,110.53,0.86617,0.62637,0.98822,0.99214,0.84396,0.94162,0.71068,0.87032,1.18572,0.93469,0.0010892,0.0010892,0.0010892
48,112.872,0.89607,0.66268,0.99427,0.99214,0.84396,0.94162,0.71068,0.87032,1.18572,0.93469,0.0010694,0.0010694,0.0010694
49,115.225,0.83674,0.67621,0.98347,0.99617,0.86956,0.96583,0.75004,0.83546,1.09603,0.93195,0.0010496,0.0010496,0.0010496
50,117.518,0.77347,0.67753,0.98548,0.99617,0.86956,0.96583,0.75004,0.83546,1.09603,0.93195,0.0010298,0.0010298,0.0010298
51,119.97,0.85627,0.62938,0.92856,0.99617,0.86956,0.96583,0.75004,0.83546,1.09603,0.93195,0.00101,0.00101,0.00101
52,122.274,0.8355,0.68657,0.96316,0.9962,0.90301,0.98096,0.76877,0.83324,0.95003,0.9306,0.0009902,0.0009902,0.0009902
53,124.774,0.87752,0.62258,0.94692,0.9962,0.90301,0.98096,0.76877,0.83324,0.95003,0.9306,0.0009704,0.0009704,0.0009704
54,127.273,0.8933,0.64139,0.98997,0.9962,0.90301,0.98096,0.76877,0.83324,0.95003,0.9306,0.0009506,0.0009506,0.0009506
55,129.649,0.8275,0.62191,0.99265,0.98929,0.92721,0.99075,0.76724,0.84262,0.8254,0.93378,0.0009308,0.0009308,0.0009308
56,131.957,0.8314,0.66066,1.00731,0.98929,0.92721,0.99075,0.76724,0.84262,0.8254,0.93378,0.000911,0.000911,0.000911
57,134.375,0.84636,0.59809,0.97551,0.98929,0.92721,0.99075,0.76724,0.84262,0.8254,0.93378,0.0008912,0.0008912,0.0008912
58,136.996,0.80455,0.58526,0.93802,0.99311,0.96401,0.99409,0.77088,0.82816,0.74285,0.92939,0.0008714,0.0008714,0.0008714
59,139.351,0.75986,0.59225,0.94546,0.99311,0.96401,0.99409,0.77088,0.82816,0.74285,0.92939,0.0008516,0.0008516,0.0008516
60,141.659,0.85431,0.59542,0.97876,0.99311,0.96401,0.99409,0.77088,0.82816,0.74285,0.92939,0.0008318,0.0008318,0.0008318
61,144.064,0.84717,0.60634,0.9704,0.99085,0.97659,0.9947,0.7822,0.79446,0.69761,0.91412,0.000812,0.000812,0.000812
62,146.305,0.7912,0.57341,0.96826,0.99085,0.97659,0.9947,0.7822,0.79446,0.69761,0.91412,0.0007922,0.0007922,0.0007922
63,148.614,0.78819,0.59846,0.95751,0.99085,0.97659,0.9947,0.7822,0.79446,0.69761,0.91412,0.0007724,0.0007724,0.0007724
64,150.924,0.7976,0.54243,0.93832,0.99663,0.98784,0.99493,0.79484,0.7621,0.68685,0.89906,0.0007526,0.0007526,0.0007526
65,153.213,0.80843,0.8609,1.06139,0.99663,0.98784,0.99493,0.79484,0.7621,0.68685,0.89906,0.0007328,0.0007328,0.0007328
66,155.477,0.78252,0.5499,0.95398,0.99663,0.98784,0.99493,0.79484,0.7621,0.68685,0.89906,0.000713,0.000713,0.000713
67,157.787,0.7519,0.5619,0.96107,0.99663,0.98845,0.99497,0.79866,0.75373,0.70125,0.89594,0.0006932,0.0006932,0.0006932
68,159.893,0.77764,0.63682,1.00342,0.99663,0.98845,0.99497,0.79866,0.75373,0.70125,0.89594,0.0006734,0.0006734,0.0006734
69,162.283,0.81433,0.56505,0.975,0.99663,0.98845,0.99497,0.79866,0.75373,0.70125,0.89594,0.0006536,0.0006536,0.0006536
70,164.708,0.79579,0.55709,0.95542,0.99665,0.9945,0.99493,0.79806,0.75888,0.71146,0.89835,0.0006338,0.0006338,0.0006338
71,166.859,0.76337,0.57927,0.97472,0.99665,0.9945,0.99493,0.79806,0.75888,0.71146,0.89835,0.000614,0.000614,0.000614
72,169.103,0.78629,0.69619,1.00107,0.99665,0.9945,0.99493,0.79806,0.75888,0.71146,0.89835,0.0005942,0.0005942,0.0005942
73,171.434,0.81548,0.58543,0.94968,0.99666,0.99767,0.9949,0.78895,0.78746,0.70817,0.91134,0.0005744,0.0005744,0.0005744
74,173.703,0.83904,0.60941,0.95487,0.99666,0.99767,0.9949,0.78895,0.78746,0.70817,0.91134,0.0005546,0.0005546,0.0005546
75,176.047,0.81418,0.6046,0.94701,0.99666,0.99767,0.9949,0.78895,0.78746,0.70817,0.91134,0.0005348,0.0005348,0.0005348
76,178.406,0.8177,0.58905,0.9686,0.99666,0.99839,0.9949,0.78794,0.7926,0.68599,0.91594,0.000515,0.000515,0.000515
77,180.738,0.78981,0.55874,0.96774,0.99666,0.99839,0.9949,0.78794,0.7926,0.68599,0.91594,0.0004952,0.0004952,0.0004952
78,182.988,0.78917,0.59951,0.93967,0.99666,0.99839,0.9949,0.78794,0.7926,0.68599,0.91594,0.0004754,0.0004754,0.0004754
79,185.271,0.78578,0.62778,0.97467,0.99637,1,0.99487,0.79999,0.76179,0.65821,0.91029,0.0004556,0.0004556,0.0004556
80,187.492,0.7686,0.71401,1.03119,0.99637,1,0.99487,0.79999,0.76179,0.65821,0.91029,0.0004358,0.0004358,0.0004358
81,189.757,0.76122,0.56068,0.95767,0.99637,1,0.99487,0.79999,0.76179,0.65821,0.91029,0.000416,0.000416,0.000416
82,192.333,0.75149,0.65072,0.94602,0.99662,1,0.99497,0.81033,0.73919,0.62914,0.90458,0.0003962,0.0003962,0.0003962
83,194.831,0.81011,0.56834,0.95945,0.99662,1,0.99497,0.81033,0.73919,0.62914,0.90458,0.0003764,0.0003764,0.0003764
84,197.148,0.78623,0.56736,0.9712,0.99662,1,0.99497,0.81033,0.73919,0.62914,0.90458,0.0003566,0.0003566,0.0003566
85,199.698,0.76359,0.57965,0.9298,0.99667,0.99995,0.99497,0.81289,0.72968,0.60167,0.9026,0.0003368,0.0003368,0.0003368
86,202.266,0.73143,0.54858,0.9696,0.99667,0.99995,0.99497,0.81289,0.72968,0.60167,0.9026,0.000317,0.000317,0.000317
87,204.806,0.77418,0.58662,0.95959,0.99667,0.99995,0.99497,0.81289,0.72968,0.60167,0.9026,0.0002972,0.0002972,0.0002972
88,207.32,0.76813,0.55372,0.93524,0.99552,1,0.995,0.80842,0.72765,0.58025,0.90275,0.0002774,0.0002774,0.0002774
89,209.743,0.77164,0.54207,0.95705,0.99552,1,0.995,0.80842,0.72765,0.58025,0.90275,0.0002576,0.0002576,0.0002576
90,212.073,0.82425,0.57691,0.9805,0.99552,1,0.995,0.80842,0.72765,0.58025,0.90275,0.0002378,0.0002378,0.0002378
91,214.491,0.75393,0.53747,0.96201,0.99555,1,0.995,0.80918,0.72887,0.56466,0.90301,0.000218,0.000218,0.000218
92,216.777,0.73551,0.54573,0.93683,0.99555,1,0.995,0.80918,0.72887,0.56466,0.90301,0.0001982,0.0001982,0.0001982
