epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.0992,1.18394,2.31859,1.14423,0.60246,0.21257,0.27764,0.16152,1.33425,3.18554,1.18356,0.000638889,0.000638889,0.000638889
2,197.992,0.93804,0.94804,0.98424,0.65036,0.8855,0.76585,0.53543,1.08541,1.20581,1.03213,0.00129263,0.00129263,0.00129263
3,269.136,0.91213,0.78641,0.97772,0.65817,0.81861,0.75132,0.51007,1.12344,1.09929,1.07286,0.00193317,0.00193317,0.00193317
4,339.48,0.86437,0.71061,0.96135,0.82271,0.85329,0.91121,0.64197,1.05217,0.91145,1.0015,0.0019406,0.0019406,0.0019406
5,407.193,0.83434,0.67565,0.94258,0.83615,0.79641,0.86314,0.59918,1.04474,1.23723,0.99183,0.0019208,0.0019208,0.0019208
6,474.849,0.82244,0.64154,0.94059,0.89361,0.8299,0.90008,0.65979,0.99282,0.90881,0.98315,0.001901,0.001901,0.001901
7,543.588,0.82129,0.62236,0.94486,0.93597,0.91903,0.96643,0.71263,0.94865,0.73152,0.96,0.0018812,0.0018812,0.0018812
8,613.237,0.82482,0.61074,0.94041,0.96102,0.95953,0.98703,0.73686,0.95039,0.64394,0.95696,0.0018614,0.0018614,0.0018614
9,683.458,0.79619,0.58905,0.93273,0.96747,0.97958,0.9814,0.74001,0.93122,0.58729,0.96347,0.0018416,0.0018416,0.0018416
10,752.888,0.78954,0.56115,0.92404,0.91052,0.93413,0.95146,0.72251,0.89752,0.62161,0.9456,0.0018218,0.0018218,0.0018218
11,822.058,0.79908,0.5584,0.92584,0.982,0.91018,0.97284,0.73123,0.91966,0.61925,0.95816,0.001802,0.001802,0.001802
12,891.174,0.78627,0.54083,0.92485,0.90873,0.93114,0.97045,0.73416,0.87387,0.59584,0.94887,0.0017822,0.0017822,0.0017822
13,959.416,0.79561,0.53577,0.92695,0.94144,0.96707,0.97982,0.74701,0.89417,0.56594,0.93729,0.0017624,0.0017624,0.0017624
14,1030,0.79355,0.5387,0.92727,0.93906,0.92278,0.98012,0.69751,1.01381,0.60368,0.97036,0.0017426,0.0017426,0.0017426
15,1099.46,0.79277,0.53156,0.92703,0.92444,0.98503,0.96819,0.75659,0.84677,0.53475,0.92281,0.0017228,0.0017228,0.0017228
16,1170.28,0.78121,0.51582,0.92409,0.88391,0.98029,0.91424,0.69481,0.90679,0.61829,0.93736,0.001703,0.001703,0.001703
17,1241.68,0.77422,0.50866,0.92092,0.91795,0.97138,0.97935,0.76739,0.85416,0.57397,0.91538,0.0016832,0.0016832,0.0016832
18,1315.66,0.76583,0.50766,0.92223,0.95726,0.93876,0.97428,0.74505,0.902,0.5422,0.94448,0.0016634,0.0016634,0.0016634
19,1382.91,0.77824,0.51181,0.92019,0.96174,0.98503,0.99307,0.74883,0.91257,0.50534,0.93203,0.0016436,0.0016436,0.0016436
20,1450.83,0.75901,0.49295,0.91859,0.93823,0.9096,0.97884,0.73686,0.91391,0.5473,0.95008,0.0016238,0.0016238,0.0016238
21,1520,0.76703,0.49617,0.92267,0.96691,0.96236,0.98939,0.77554,0.85024,0.48483,0.92109,0.001604,0.001604,0.001604
22,1588.43,0.75872,0.48189,0.91766,0.96194,0.97006,0.99054,0.76295,0.89852,0.4784,0.93461,0.0015842,0.0015842,0.0015842
23,1656.96,0.75181,0.46196,0.91425,0.95342,0.9491,0.98499,0.75428,0.8856,0.49986,0.93267,0.0015644,0.0015644,0.0015644
24,1726.3,0.76787,0.46368,0.917,0.96407,0.96411,0.98601,0.76262,0.84261,0.45598,0.9246,0.0015446,0.0015446,0.0015446
25,1794.9,0.76239,0.45458,0.91216,0.96416,0.96663,0.98416,0.73071,0.91298,0.48683,0.94501,0.0015248,0.0015248,0.0015248
26,1864.63,0.7605,0.45174,0.91236,0.96117,0.96346,0.98385,0.76481,0.86391,0.46987,0.92792,0.001505,0.001505,0.001505
27,1935.04,0.74222,0.44509,0.91367,0.95824,0.92216,0.97787,0.7364,0.9317,0.54484,0.95246,0.0014852,0.0014852,0.0014852
28,2005.12,0.74182,0.43727,0.90532,0.97282,0.96108,0.99008,0.77333,0.84476,0.45176,0.92088,0.0014654,0.0014654,0.0014654
29,2075.3,0.7591,0.45494,0.91564,0.98268,0.94611,0.98844,0.75738,0.88491,0.47971,0.92167,0.0014456,0.0014456,0.0014456
30,2145.47,0.76451,0.45413,0.9156,0.97572,0.96235,0.98091,0.75771,0.8398,0.44644,0.92049,0.0014258,0.0014258,0.0014258
31,2220.19,0.75596,0.43973,0.91544,0.97459,0.97006,0.99273,0.74023,0.9507,0.445,0.94356,0.001406,0.001406,0.001406
32,2293.16,0.76339,0.43693,0.91323,0.96829,0.96108,0.98769,0.75961,0.87946,0.48261,0.92728,0.0013862,0.0013862,0.0013862
33,2363.86,0.7711,0.45358,0.92237,0.94353,0.97305,0.97621,0.75879,0.8609,0.50936,0.92195,0.0013664,0.0013664,0.0013664
34,2434.32,0.75574,0.43,0.91231,0.98924,0.93413,0.9884,0.76726,0.81589,0.46366,0.9139,0.0013466,0.0013466,0.0013466
35,2504.67,0.75795,0.43868,0.91184,0.95266,0.96395,0.98423,0.77254,0.83824,0.45492,0.91589,0.0013268,0.0013268,0.0013268
36,2574.09,0.75237,0.43629,0.90716,0.95969,0.96407,0.98204,0.76698,0.83766,0.45457,0.91367,0.001307,0.001307,0.001307
37,2644.46,0.75416,0.41919,0.90865,0.95769,0.9521,0.98317,0.76731,0.84698,0.50755,0.9194,0.0012872,0.0012872,0.0012872
38,2714.05,0.74044,0.40951,0.90315,0.96971,0.95835,0.98933,0.76826,0.83801,0.46455,0.91585,0.0012674,0.0012674,0.0012674
39,2784.05,0.73432,0.40119,0.90396,0.94174,0.96795,0.97956,0.7618,0.85218,0.47945,0.91545,0.0012476,0.0012476,0.0012476
40,2852.74,0.73262,0.40217,0.90474,0.98382,0.96707,0.99063,0.78292,0.84152,0.40552,0.90866,0.0012278,0.0012278,0.0012278
41,2922.54,0.7418,0.40742,0.90805,0.98147,0.9514,0.98173,0.75769,0.87056,0.44849,0.92587,0.001208,0.001208,0.001208
42,2991.27,0.74509,0.40271,0.90648,0.97183,0.92216,0.97922,0.76071,0.84187,0.44442,0.91672,0.0011882,0.0011882,0.0011882
43,3061.32,0.7286,0.39723,0.90071,0.97733,0.9521,0.9891,0.75836,0.887,0.45361,0.92121,0.0011684,0.0011684,0.0011684
44,3130.58,0.73716,0.40466,0.90363,0.9649,0.99102,0.98683,0.76358,0.85298,0.42484,0.91624,0.0011486,0.0011486,0.0011486
45,3199.86,0.72701,0.39344,0.90572,0.97069,0.97006,0.99107,0.75266,0.89824,0.42006,0.9312,0.0011288,0.0011288,0.0011288
46,3294.36,0.72666,0.39638,0.90363,0.96704,0.98204,0.99079,0.77714,0.84484,0.39865,0.91412,0.001109,0.001109,0.001109
47,3364.73,0.73465,0.4038,0.90435,0.97993,0.96407,0.98774,0.76042,0.84921,0.42105,0.91706,0.0010892,0.0010892,0.0010892
48,3433.14,0.7365,0.39993,0.90768,0.96683,0.96005,0.98843,0.77052,0.85675,0.43751,0.92212,0.0010694,0.0010694,0.0010694
49,3540.2,0.72847,0.39476,0.9093,0.97202,0.97006,0.9895,0.77443,0.85064,0.41106,0.91947,0.0010496,0.0010496,0.0010496
50,3627.85,0.74232,0.39954,0.90247,0.98147,0.9517,0.99095,0.7811,0.85202,0.47266,0.91523,0.0010298,0.0010298,0.0010298
51,3699.01,0.72408,0.37921,0.89876,0.98177,0.96744,0.99315,0.77988,0.8375,0.42689,0.91089,0.00101,0.00101,0.00101
52,3770.73,0.73078,0.3948,0.90194,0.95215,0.83415,0.92638,0.70106,0.90988,0.63221,0.93159,0.0009902,0.0009902,0.0009902
53,3840.32,0.73203,0.38777,0.90245,0.96598,0.96407,0.98907,0.76005,0.88269,0.41919,0.92018,0.0009704,0.0009704,0.0009704
54,3909.57,0.71862,0.3801,0.89608,0.98047,0.95808,0.98738,0.74877,0.85238,0.42423,0.91655,0.0009506,0.0009506,0.0009506
55,3978.1,0.72617,0.37969,0.9033,0.94263,0.93471,0.97616,0.74599,0.87451,0.46384,0.9247,0.0009308,0.0009308,0.0009308
56,4046.3,0.71857,0.37642,0.90565,0.97524,0.94325,0.98847,0.75601,0.89072,0.44147,0.93135,0.000911,0.000911,0.000911
57,4115.3,0.72633,0.37863,0.89829,0.99278,0.94611,0.99012,0.76514,0.8679,0.42479,0.92172,0.0008912,0.0008912,0.0008912
58,4185.26,0.72392,0.37984,0.90015,0.98576,0.97305,0.9929,0.76644,0.87712,0.38908,0.91887,0.0008714,0.0008714,0.0008714
59,4254.52,0.72135,0.37304,0.90265,0.97604,0.97558,0.99105,0.75336,0.88878,0.41093,0.92599,0.0008516,0.0008516,0.0008516
60,4323.66,0.71048,0.37598,0.89656,0.96982,0.96707,0.9856,0.77553,0.82554,0.41204,0.91638,0.0008318,0.0008318,0.0008318
61,4393.81,0.71863,0.36979,0.90433,0.97294,0.96882,0.9908,0.76174,0.86615,0.39367,0.92647,0.000812,0.000812,0.000812
62,4463.62,0.71311,0.36516,0.89722,0.97207,0.97006,0.99262,0.76543,0.87603,0.39166,0.92556,0.0007922,0.0007922,0.0007922
63,4533.2,0.71724,0.37237,0.90003,0.96383,0.95732,0.97813,0.762,0.87507,0.44613,0.93648,0.0007724,0.0007724,0.0007724
64,4602.35,0.71343,0.37672,0.89867,0.98235,0.96108,0.98826,0.75158,0.88098,0.41549,0.92364,0.0007526,0.0007526,0.0007526
65,4671.56,0.71163,0.36473,0.889,0.98102,0.97305,0.99001,0.7681,0.8695,0.39449,0.92064,0.0007328,0.0007328,0.0007328
66,4740.78,0.72287,0.37309,0.90442,0.97133,0.97305,0.99172,0.77824,0.83991,0.38708,0.91221,0.000713,0.000713,0.000713
67,4809.62,0.71224,0.36256,0.90029,0.9745,0.97006,0.99215,0.7753,0.84296,0.38111,0.91296,0.0006932,0.0006932,0.0006932
68,4878.61,0.71972,0.36686,0.89835,0.98473,0.9655,0.99244,0.75937,0.86254,0.38265,0.91905,0.0006734,0.0006734,0.0006734
69,4948.79,0.71206,0.36196,0.89546,0.98473,0.96511,0.99141,0.77884,0.84351,0.39052,0.90909,0.0006536,0.0006536,0.0006536
70,5019.15,0.71627,0.36405,0.89383,0.98178,0.96812,0.99189,0.76909,0.83381,0.37485,0.90846,0.0006338,0.0006338,0.0006338
71,5089.93,0.70324,0.3572,0.88891,0.98506,0.9871,0.9942,0.77678,0.84549,0.35979,0.91417,0.000614,0.000614,0.000614
72,5158.5,0.70998,0.361,0.89588,0.97005,0.96961,0.98842,0.77233,0.84747,0.38514,0.9174,0.0005942,0.0005942,0.0005942
73,5229.86,0.72262,0.36194,0.89836,0.97485,0.97605,0.99294,0.76112,0.85791,0.38493,0.91648,0.0005744,0.0005744,0.0005744
74,5302.23,0.71162,0.36173,0.89587,0.98775,0.96707,0.99345,0.77334,0.84835,0.3673,0.91723,0.0005546,0.0005546,0.0005546
75,5372.39,0.71652,0.35972,0.89667,0.99295,0.97006,0.99379,0.78064,0.8459,0.36232,0.91372,0.0005348,0.0005348,0.0005348
76,5444.21,0.70282,0.34584,0.89085,0.99081,0.96786,0.99268,0.7666,0.87031,0.37065,0.92439,0.000515,0.000515,0.000515
77,5514.86,0.6944,0.3463,0.8887,0.98779,0.96872,0.99071,0.76511,0.88411,0.37697,0.92343,0.0004952,0.0004952,0.0004952
78,5584.82,0.70986,0.35684,0.88992,0.99304,0.94311,0.99159,0.77147,0.84665,0.38431,0.92097,0.0004754,0.0004754,0.0004754
79,5653.55,0.70124,0.34725,0.89806,0.97991,0.95509,0.99217,0.77229,0.85036,0.38258,0.91511,0.0004556,0.0004556,0.0004556
80,5722.13,0.68783,0.34596,0.88908,0.98479,0.96903,0.99292,0.78722,0.82272,0.37371,0.91061,0.0004358,0.0004358,0.0004358
81,5790.82,0.69513,0.34422,0.89059,0.98975,0.95509,0.9916,0.76972,0.85524,0.37931,0.91344,0.000416,0.000416,0.000416
82,5860.25,0.69159,0.34337,0.89113,0.98608,0.96707,0.9831,0.75868,0.89954,0.38134,0.92083,0.0003962,0.0003962,0.0003962
83,5929.76,0.70571,0.34556,0.89229,0.98407,0.97305,0.98306,0.77166,0.85031,0.37363,0.91367,0.0003764,0.0003764,0.0003764
84,6000.3,0.69801,0.34095,0.88991,0.98734,0.97006,0.98392,0.77034,0.84076,0.36662,0.91394,0.0003566,0.0003566,0.0003566
85,6118.39,0.69731,0.34043,0.89161,0.99078,0.96508,0.99411,0.76873,0.88464,0.34982,0.92079,0.0003368,0.0003368,0.0003368
86,6244.28,0.69372,0.33524,0.88721,0.98482,0.97095,0.99382,0.7703,0.8662,0.35009,0.92098,0.000317,0.000317,0.000317
87,6313.14,0.69773,0.33917,0.89429,0.979,0.99401,0.99443,0.76182,0.88301,0.34831,0.92508,0.0002972,0.0002972,0.0002972
88,6383.25,0.69984,0.34014,0.89312,0.96859,0.99102,0.99395,0.7824,0.85455,0.34998,0.91732,0.0002774,0.0002774,0.0002774
89,6452.78,0.69403,0.33525,0.88889,0.98772,0.96348,0.99319,0.77843,0.85664,0.36561,0.91766,0.0002576,0.0002576,0.0002576
90,6522.63,0.68742,0.33184,0.88716,0.99378,0.95742,0.99254,0.77656,0.85159,0.36489,0.91749,0.0002378,0.0002378,0.0002378
91,6588.54,0.67773,0.32386,0.88485,0.98175,0.96652,0.99242,0.78031,0.85085,0.36224,0.92235,0.000218,0.000218,0.000218
92,6653.98,0.67499,0.31955,0.88578,0.97308,0.9741,0.99149,0.76391,0.88502,0.37477,0.93046,0.0001982,0.0001982,0.0001982
93,6719.82,0.67312,0.31496,0.88236,0.98186,0.97305,0.98961,0.77165,0.86081,0.36768,0.92064,0.0001784,0.0001784,0.0001784
94,6785.51,0.67379,0.31166,0.88479,0.98483,0.97189,0.99065,0.77053,0.85225,0.36151,0.9227,0.0001586,0.0001586,0.0001586
95,6850.92,0.6734,0.31371,0.87855,0.9704,0.98204,0.98885,0.77177,0.84424,0.35776,0.91832,0.0001388,0.0001388,0.0001388
96,6916.42,0.67175,0.30941,0.88041,0.97193,0.98204,0.99122,0.77655,0.84864,0.36119,0.91926,0.000119,0.000119,0.000119
97,6981.68,0.67192,0.31212,0.87803,0.97152,0.98204,0.99096,0.77588,0.85619,0.36076,0.92201,9.92e-05,9.92e-05,9.92e-05
98,7047.63,0.67337,0.30864,0.88259,0.97126,0.97904,0.99205,0.76214,0.88928,0.36549,0.92613,7.94e-05,7.94e-05,7.94e-05
99,7114.36,0.66631,0.30764,0.87933,0.97946,0.97904,0.99332,0.77762,0.85767,0.35507,0.91892,5.96e-05,5.96e-05,5.96e-05
100,7180.04,0.66763,0.30698,0.87942,0.98041,0.97904,0.99358,0.77673,0.85445,0.35284,0.91976,3.98e-05,3.98e-05,3.98e-05
